ForeignId;ForeignName;ForeignKey;ForeignNameId;ForeignLocation；Star;CCommentCount;CRecommendCommentCount;CNeedToImproveCommentCount;CScore;CPrice;COpenYear;RoomCount;
7天上海延安中路店;上海滨海皇家金煦大酒店;http://hotels.ctrip.com/hotel/dianping/608459.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/608459.html;金山城市沙滩地区;hotel_halfdiamond05;1719;1532;187;;;2008;300;
御品静安紫苑酒店式公寓;上海锦江陕西商务酒店;http://hotels.ctrip.com/hotel/dianping/436321.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/436321.html;南京西路商业区;hotel_stars04;4304;4131;173;;;2005;174;
上海美豪酒店长寿路店;上海御品静安紫苑酒店式公寓;http://hotels.ctrip.com/hotel/dianping/878952.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/878952.html;南京西路商业区;hotel_halfdiamond03;1286;1225;61;;;2011;120;
上海汉庭上南店;美豪酒店（上海长寿店）;http://hotels.ctrip.com/hotel/dianping/441607.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/441607.html;中山公园商业区;hotel_diamond04;5622;5522;100;;;2009;255;
臣苑大酒店;汉庭酒店（上海上南店）;http://hotels.ctrip.com/hotel/dianping/1225343.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1225343.html;浦东世博园区;hotel_halfdiamond02;766;723;43;;;2008;152;
上海汉庭张江店;上海臣苑大酒店;http://hotels.ctrip.com/hotel/dianping/661570.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/661570.html;宝钢工业园区;hotel_halfdiamond04;1154;1124;30;;;2006;195;
凯仕摩世纪时空酒店式服务公寓;汉庭酒店（上海张江店）;http://hotels.ctrip.com/hotel/dianping/762147.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/762147.html;浦东张江地区;hotel_halfdiamond02;1048;993;55;;;2008;154;
上海汉庭镇坪路店;上海凯仕摩世纪时空酒店式服务公寓;http://hotels.ctrip.com/hotel/dianping/454259.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/454259.html;静安寺地区;hotel_diamond03;710;699;11;;;2004;80;
艾森时尚旅店;汉庭酒店（上海镇坪路地铁站店）;http://hotels.ctrip.com/hotel/dianping/1068817.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1068817.html;曹杨、真如地区;hotel_halfdiamond02;503;481;22;;;2007;97;
上海莫泰168大渡河路店;艾森时尚旅店(上海杨浦店);http://hotels.ctrip.com/hotel/dianping/1878018.html#ctm_ref=hod_sr_lst_dl_c_1_1;http://hotels.ctrip.com/hotel/dianping/1878018.html;江湾、五角场商业区;;24;20;4;;;;;
